order_id,restaurant_lat,restaurant_lon,customer_lat,customer_lon,order_hour,order_day,order_month,weather,traffic,vehicle_type,num_items,restaurant_rating,delivery_person_age,delivery_person_exp,delivery_status
63,13.098621252745579,77.62495854856492,13.073684171552873,77.6580341722695,18,4,2,Windy,Medium,Scooter,6,2.6,39,6,0
64,12.957025998008076,77.51898842462032,13.081909569611716,77.468179074402,14,4,8,Clear,Medium,Bike,2,1.3,42,3,0
65,12.934280352906214,77.49444017660491,13.12596825424569,77.69524066850494,14,6,4,Windy,Low,Car,6,3.5,48,7,1
66,13.012808824947475,77.6461489891483,12.978052836668686,77.46291025499201,8,4,11,Foggy,Low,Car,1,4.3,38,6,1
67,12.892277267492428,77.65436277734646,12.938023273005818,77.49121921430311,2,2,2,Windy,High,Bike,6,3.1,20,3,1
68,13.090659094226211,77.6756464676773,13.041899280036953,77.53253227715699,1,0,4,Rainy,Medium,Scooter,5,1.2,38,0,0
69,12.872365193103931,77.60107306890158,12.97471836978386,77.64000943767824,6,2,8,Foggy,Medium,Car,2,2.5,45,9,0
70,13.146066080980155,77.71821638156116,13.028379536184694,77.7429077298894,8,4,1,Rainy,Low,Car,4,2.0,46,5,0
71,13.081673430788998,77.73090282601947,12.975995739536785,77.48534685578598,21,6,11,Foggy,High,Car,9,1.6,28,0,2
72,12.909614704460251,77.69221128193774,12.895898736003453,77.49281230076417,4,1,9,Foggy,Low,Scooter,2,3.0,29,6,0
73,12.851656635137081,77.64067804460245,12.990828025497688,77.56066111901029,16,5,8,Foggy,Low,Scooter,5,1.3,27,2,0
74,13.09463842853645,77.54111628607735,13.05727534658231,77.7008657413266,2,6,8,Foggy,Low,Car,3,1.3,49,6,0
75,13.062057203154286,77.74488347648607,13.089785142300295,77.59016928582524,8,4,10,Clear,Medium,Car,2,4.1,42,5,0
76,13.068702150412296,77.53224085015758,12.997997883038964,77.54648318007675,7,0,9,Foggy,Low,Scooter,8,2.7,33,9,1
77,13.081381104005784,77.51079707659713,12.89957136706312,77.61836114966266,8,2,7,Rainy,Low,Scooter,9,4.0,38,4,1
78,12.872213395520227,77.58264623413598,12.97440631289483,77.52815695923373,23,0,11,Windy,High,Bike,6,2.3,24,6,1
79,12.957539718563282,77.46705217121372,13.08588817865251,77.57034797217426,16,2,9,Clear,Low,Bike,5,2.4,48,4,0
80,12.884760717857539,77.74354833940154,12.973857781185123,77.54978154476962,23,5,1,Clear,High,Bike,7,2.7,28,9,1
81,13.108931027762678,77.62653006692493,13.058959238081266,77.69124230672439,7,6,1,Clear,Low,Bike,3,2.2,18,1,0
82,13.036989438048268,77.61708562749925,13.002164104503427,77.7272767179314,20,0,12,Windy,Medium,Car,6,3.2,31,8,1
83,12.949269407455795,77.64673888396992,12.92236693753282,77.67787165764707,13,0,4,Windy,Low,Car,7,1.3,32,0,1
84,12.869067505085807,77.59910709433316,13.088845152406922,77.581725072809,21,2,2,Clear,Medium,Bike,1,3.2,40,9,0
85,12.943294696514698,77.45961905512837,12.875264036221205,77.601300493249,15,6,8,Clear,Low,Car,4,3.9,21,5,0
86,12.947554996608025,77.63369338665213,13.007467084826546,77.48752210817884,17,2,1,Foggy,Medium,Scooter,7,5.0,28,9,1
87,13.06888185350142,77.66485216308693,12.91266731027302,77.67405941334036,16,2,4,Foggy,Medium,Scooter,6,3.5,22,9,0
88,13.041267241406564,77.57502471818722,12.870119688562413,77.62894270381851,23,3,11,Windy,Low,Bike,2,3.8,25,7,0
89,13.116163822772899,77.67718867162135,13.000880181124975,77.72073199884123,6,5,11,Foggy,High,Car,8,3.4,41,8,2
90,12.991664477548586,77.51810038980153,12.999868646780477,77.51018334307255,19,0,9,Rainy,Medium,Scooter,7,4.8,22,6,2
91,12.88587827378149,77.51638297731986,13.062070270502716,77.67791783657978,14,3,2,Rainy,Medium,Car,2,4.2,19,5,1
92,13.063973436166899,77.49842509630628,13.073425207915571,77.65540149851576,6,3,6,Foggy,Low,Scooter,9,3.5,47,0,1
93,13.078235514585069,77.56159842793674,13.068337446607869,77.52975366014293,1,4,4,Foggy,High,Car,6,2.3,23,9,1
94,13.018383159270849,77.70410361061673,12.972867619875027,77.65021359186225,1,6,12,Clear,Medium,Scooter,2,2.3,23,2,0
95,13.081290153986368,77.69837361864472,13.03950693616797,77.727312014173,6,3,4,Foggy,Low,Scooter,5,4.0,34,8,0
96,12.998138678909317,77.56484726238905,13.023083572793189,77.72553079630013,18,3,6,Rainy,Medium,Scooter,1,4.7,22,8,0
97,13.006819848814597,77.62673562079407,12.976468526835076,77.66588797235484,5,2,10,Windy,Low,Bike,2,4.9,31,2,0
98,12.978262305507565,77.66624489494248,13.029163808255799,77.46442193376022,11,2,4,Windy,Low,Car,9,2.0,21,7,0
99,12.857625738023229,77.52236203238841,13.13417436301188,77.71167930119604,14,1,9,Clear,High,Bike,1,3.4,45,2,1
100,12.882367428097991,77.50044232576843,12.907868123104413,77.64733358210137,12,5,12,Windy,Low,Car,4,3.8,32,5,1
101,12.85942875570602,77.7416287979637,13.121731628735658,77.54313027595482,6,6,12,Foggy,High,Scooter,9,2.7,31,2,2
102,13.040923123379134,77.63526719396289,12.866036654194959,77.50617510851171,6,0,8,Clear,Low,Bike,4,1.4,45,5,0
103,12.944306794322898,77.7444247165501,12.942516763870499,77.4848611588992,14,5,8,Foggy,Low,Scooter,1,2.1,49,3,1
104,13.00257120734941,77.55132679613968,12.936443574583459,77.46507106977734,3,3,5,Windy,Medium,Bike,5,3.1,29,5,0
105,13.122269942177828,77.66090950999224,13.037909532364273,77.67623097438523,2,3,6,Foggy,High,Car,6,1.5,18,8,2
106,12.924787668744662,77.51678109096237,12.889367485533187,77.52075289968299,0,0,1,Clear,Medium,Car,1,2.3,25,2,0
107,12.973114876910689,77.52836005138218,13.114704283551927,77.45727588081299,6,5,1,Clear,High,Car,8,2.0,41,5,2
108,13.076665341562915,77.6035706363809,13.098565422539513,77.5691811955526,8,2,9,Rainy,High,Scooter,1,2.4,35,2,1
109,12.918639449647486,77.54588543765243,13.045619745905583,77.5947821241777,0,2,12,Windy,Medium,Bike,6,3.7,43,9,1
110,12.873093972948638,77.50028646915217,12.98752414953766,77.50076906927004,4,0,4,Foggy,High,Bike,9,2.9,28,9,2
111,12.93692543587413,77.5288642105968,13.129886812642624,77.46321450084876,14,6,3,Rainy,High,Bike,3,2.5,31,4,2
112,12.898366386176201,77.46072451833976,13.099223966416167,77.50673764492942,3,0,5,Rainy,Medium,Bike,5,2.1,42,5,1
113,13.128909295702773,77.66132708644325,12.999794544424374,77.65373082855098,9,2,9,Windy,High,Bike,1,3.8,36,8,1
114,13.092436113869326,77.59763499712577,13.060562006336294,77.47467310317536,1,6,9,Foggy,Medium,Bike,1,3.7,46,4,0
115,13.040021126953127,77.47827291992137,13.020078985653905,77.6165111091671,22,0,3,Windy,Low,Car,2,2.8,36,3,0
116,13.111438177056316,77.50150819793855,13.02638267151648,77.49392359637245,6,6,12,Foggy,Medium,Car,6,2.1,21,2,0
117,13.091101623069735,77.4807603614338,12.949292820831241,77.50870675207413,23,5,7,Rainy,High,Bike,7,4.2,47,6,2
118,12.905971017665811,77.63377784248276,12.988625381387468,77.56792336498002,18,2,3,Rainy,Low,Bike,5,4.4,24,6,0
119,13.117767699546993,77.47826310908376,12.873436429236923,77.48024760081613,5,0,3,Rainy,Low,Bike,1,4.4,35,9,1
120,13.011802672574696,77.67628469991057,12.957204607499378,77.50196105083467,14,2,4,Foggy,Low,Bike,1,2.6,32,2,2
121,13.092232046549219,77.45615327579613,13.058748554608647,77.55468572343541,19,1,2,Clear,Medium,Car,1,2.0,27,1,0
122,13.118827389977048,77.52481273639877,13.135964809151856,77.54890070164952,11,2,6,Windy,Medium,Scooter,3,4.4,33,0,0
123,12.945401042491559,77.71720000276757,13.138919233828906,77.67478144570272,10,2,5,Foggy,Low,Car,4,4.9,32,9,0
124,12.883015577358302,77.66555939543667,13.016716860737468,77.47243469153793,2,3,10,Windy,High,Bike,8,1.8,19,5,1
125,12.918380548762583,77.4718904998777,13.031986675542875,77.7081352206999,19,5,10,Windy,High,Bike,9,3.5,26,4,2
126,12.978132336587876,77.69633783134556,12.90571635565029,77.69486965122184,16,6,2,Rainy,Low,Car,5,2.3,21,6,1
127,13.095404429776748,77.59791053646207,13.058592432428059,77.67979749190758,6,2,12,Windy,High,Car,4,2.9,44,2,1
128,13.108219174976904,77.70403490815065,12.871197637802316,77.54281170873894,22,0,10,Clear,High,Scooter,9,3.3,24,3,1
129,12.852085639159357,77.63022193233512,12.935405705739834,77.69686453566224,22,4,2,Foggy,Medium,Scooter,6,3.2,46,0,1
130,13.00322419077327,77.65454990960986,13.050509004185633,77.50484062408678,17,0,2,Clear,High,Car,3,4.0,42,2,1
131,12.975223300944634,77.7480504681187,12.943093039463047,77.48732276175652,16,3,4,Clear,Medium,Car,7,4.9,40,1,0
132,12.916632343141218,77.5197006637772,12.864954062234336,77.46348690004685,15,0,3,Rainy,Low,Car,9,1.3,38,5,1
133,12.885959610200105,77.63718367242842,13.099561122805289,77.73179310890167,1,1,9,Foggy,High,Bike,2,3.7,34,6,1
134,12.951284551421088,77.58809641701723,12.943099002140368,77.54240326931158,4,4,5,Foggy,High,Car,9,3.1,29,1,2
135,13.132872911173756,77.46183558587681,12.868931567457603,77.72528536405338,20,4,12,Clear,Medium,Scooter,2,2.6,42,6,0
136,12.946960879606227,77.45434119245087,12.87243644935086,77.5317840684558,12,6,1,Foggy,Medium,Bike,5,3.6,25,2,1
137,13.00563718652301,77.48576857334535,12.925527639636625,77.72226978780091,10,5,2,Windy,Low,Car,1,4.5,38,5,0
138,13.060905687668553,77.64472752216156,12.903404784166458,77.72117871585382,23,3,7,Foggy,Low,Bike,2,3.4,26,7,1
139,12.959088880713788,77.62014892637401,13.082290035334045,77.72710281350321,0,5,8,Foggy,High,Bike,7,4.3,41,1,2
140,13.141534624816288,77.61602886834912,12.94650521400011,77.59884603178526,22,4,6,Windy,Medium,Bike,4,2.2,21,8,0
141,13.138734188482633,77.45955702875848,13.09140873551195,77.70978388603967,2,2,7,Windy,Medium,Scooter,7,2.8,19,7,0
142,12.925534688747609,77.590790898908,12.902153799346946,77.73522976885019,17,3,2,Windy,High,Bike,4,1.7,42,0,1
143,12.999174551767716,77.72738684535275,12.997863753863225,77.54738508256915,20,5,12,Windy,Medium,Scooter,1,3.3,46,9,0
144,12.94026349294503,77.5692775607932,13.056411140065938,77.57566232170477,3,1,6,Foggy,Medium,Scooter,6,4.0,47,0,1
145,12.93545214831324,77.63747674093653,13.045597256159757,77.66577205620072,8,4,12,Rainy,Medium,Scooter,9,3.3,30,9,1
146,12.86106608420636,77.68394560268695,13.03033882297908,77.540107946517,10,4,6,Rainy,Medium,Scooter,6,4.6,42,3,1
147,13.032869300193969,77.68517758374257,13.127446480579351,77.6761427926738,16,3,4,Windy,High,Bike,7,4.4,24,7,1
148,13.000803706968659,77.60578402471859,12.918557544312023,77.47216764356406,10,4,11,Foggy,Low,Car,7,2.7,32,7,1
149,12.865443625374997,77.7073855836207,12.998115761338632,77.60704951528656,2,6,4,Foggy,Low,Car,1,3.3,25,6,0
150,12.933593939270983,77.56741342800913,13.115197765021723,77.48669404522512,18,4,2,Foggy,High,Car,2,3.6,21,6,1
151,13.122479765789997,77.71660796443544,12.873368129678546,77.53799704293101,19,1,3,Foggy,Low,Car,1,4.2,44,2,1
152,12.921868567200091,77.52206814991867,12.866766480475922,77.52758761774594,22,1,10,Foggy,Medium,Car,1,1.3,43,1,0
153,12.893468461627366,77.53406492209717,12.919990686267488,77.7016796220688,20,3,6,Rainy,High,Car,8,4.2,21,3,2
154,12.996835828083269,77.4659361872597,13.039906365861405,77.50805517662187,10,4,4,Clear,Low,Car,4,1.3,28,3,0
155,13.145695136233181,77.68867455096269,12.927963887934942,77.69253437604773,13,5,3,Clear,Medium,Car,8,3.9,46,6,1
156,12.92261658145345,77.57511657086981,12.90707196514264,77.68818810377238,5,6,1,Clear,Low,Scooter,5,2.9,48,9,0
157,13.051640664221763,77.51873498417342,12.987640694607487,77.59966491666717,18,0,12,Windy,High,Bike,1,1.9,34,0,0
158,13.078485884598615,77.51953708328497,13.034079420630823,77.52015297667884,20,3,11,Windy,Low,Scooter,9,3.8,30,2,1
159,12.92129126319772,77.72041998236877,12.924567312105022,77.51806890198687,14,5,11,Rainy,Low,Car,3,4.5,26,8,1
160,13.068464904583559,77.70017498013831,12.940207356017122,77.58947739413476,10,1,11,Rainy,Low,Car,7,4.3,47,1,1
161,12.960334939815775,77.61605926560716,13.034067791443455,77.45264270221806,17,0,3,Foggy,High,Car,7,1.8,27,3,1
162,13.039691749178074,77.63483324012472,13.133721526596837,77.60940522638342,3,5,1,Rainy,Medium,Bike,4,3.4,26,1,1
163,13.040058913228268,77.59229767116508,13.052422518231426,77.73583385773011,18,5,4,Windy,High,Scooter,8,3.7,38,6,1
164,13.010732405222427,77.56749996286365,13.084871243075368,77.49641206455878,2,4,12,Rainy,Low,Bike,8,1.2,31,0,1
165,12.877086931016322,77.7246430643655,12.960043028426641,77.62200368644268,11,6,4,Foggy,High,Scooter,2,2.3,44,4,1
166,13.100590748676773,77.48768381105609,12.931676307815339,77.73853360659334,3,3,11,Foggy,Low,Scooter,8,1.4,40,8,1
167,12.94623401949152,77.57553403691487,12.986280322960786,77.70815664184748,23,3,12,Foggy,Medium,Car,5,2.7,20,8,0
168,12.905955553119956,77.55336857239637,13.092139848613503,77.7051140349144,11,1,1,Windy,Medium,Scooter,2,3.9,44,3,0
169,12.86223254246643,77.59944521607535,12.986889892537167,77.69655497911886,23,2,7,Clear,Low,Scooter,6,4.2,25,2,1
170,13.027267882956473,77.58728956236355,13.104017622636958,77.54270708181686,0,2,5,Clear,High,Bike,8,4.1,42,3,1
171,13.053269308552684,77.60566685949533,13.146631594208538,77.71718504938005,15,2,1,Windy,Low,Scooter,4,2.1,29,3,0
172,12.854976348678356,77.4919756931681,12.871607999719101,77.73240210536996,20,3,5,Foggy,High,Bike,9,1.6,48,9,2
173,13.003627917489784,77.60394245045399,12.863623046825111,77.59873772698971,1,6,12,Foggy,High,Scooter,8,4.5,25,6,2
174,12.917948732559381,77.52272564416617,12.89487691087401,77.55637131417784,21,6,7,Windy,Low,Bike,7,4.0,46,0,1
175,13.043551837122836,77.50529940469646,12.965310902720304,77.57426870468176,2,1,6,Clear,Medium,Car,7,4.0,22,7,0
176,12.902309928701497,77.46945026563586,12.88931266274363,77.55026193254938,15,1,10,Foggy,Medium,Scooter,8,2.1,45,5,1
177,13.05728132143074,77.67879576762684,13.111199343285627,77.51372553260737,9,2,5,Foggy,High,Bike,7,3.3,23,1,2
178,12.966020603890161,77.57823257625697,12.856943875308119,77.63553454107587,8,0,8,Clear,Low,Bike,1,4.6,36,6,0
179,13.131018996621021,77.63799310499353,12.944737814900746,77.6187790658736,13,2,9,Windy,Low,Car,5,4.3,20,8,1
180,12.891256283243798,77.66827800299143,12.905408388848262,77.58877552131179,7,3,1,Rainy,Low,Car,2,2.1,31,6,0
181,12.952319905315077,77.65379499959407,13.12946179904726,77.47875361600545,1,0,6,Foggy,Medium,Bike,5,4.8,31,2,0
182,12.884042056372177,77.59115021572691,13.05084430146701,77.6890678894118,10,1,2,Clear,Medium,Bike,5,2.5,30,0,0
183,13.12740808548357,77.56636955868552,13.123609076935413,77.50248006882524,1,4,8,Windy,High,Bike,6,3.3,24,9,2
184,13.113201806014295,77.5627879728922,13.141698613093117,77.48436861301882,14,5,5,Clear,Medium,Scooter,6,3.9,26,3,1
185,12.927382488314546,77.64201463907902,12.99912947310321,77.63692141864489,17,0,1,Clear,Medium,Scooter,6,2.0,32,7,0
186,13.047995213810253,77.59843830648256,12.920295732414408,77.56959330837132,4,6,5,Rainy,Low,Bike,7,2.6,32,3,1
187,13.095166660060364,77.70473967439655,12.908118635858976,77.4679425426057,6,1,10,Foggy,Low,Car,2,4.7,42,9,0
188,13.016560243479839,77.71241059529801,12.916875658505752,77.55667050648832,22,0,5,Foggy,Medium,Car,4,1.3,35,5,0
189,13.008895173506803,77.50116811340196,13.0625779922866,77.68153410568549,18,2,2,Foggy,High,Car,5,1.1,44,0,1
190,12.922555687270135,77.49087009546372,12.8621337184369,77.63457476156513,18,0,4,Rainy,Low,Scooter,7,4.9,40,5,1
191,12.87793083034177,77.6391202778108,12.865408321909815,77.5588358068961,15,0,6,Clear,High,Car,2,4.5,47,0,1
192,13.119164727385998,77.54036772441869,13.032442882714944,77.50754143749037,18,0,1,Windy,Medium,Car,8,4.2,25,0,0
193,13.120125417149,77.45557121562953,13.042617144021222,77.63953868624144,16,3,11,Clear,Medium,Bike,2,2.3,47,2,0
194,13.039930437181981,77.71659280080888,13.049578877296739,77.71626659028391,12,5,9,Foggy,Low,Car,5,2.5,46,9,1
195,12.95170893731461,77.51807023017315,12.961564151376578,77.64388181540477,7,3,7,Rainy,Low,Scooter,9,4.6,18,9,1
196,12.954762872383798,77.72878419550574,13.091783466614245,77.69387115639506,10,5,6,Clear,Low,Scooter,2,4.9,43,3,0
197,13.067786703661072,77.66523033526347,13.010087376317985,77.60645835156632,17,2,1,Rainy,Low,Bike,2,1.2,37,1,0
198,13.119133077985774,77.67879604697345,12.881639689002826,77.66539133202231,10,4,8,Windy,Medium,Bike,2,2.9,26,5,0
199,13.116125927279535,77.51043844873794,13.089129792120204,77.7188680321335,22,3,8,Windy,Medium,Scooter,7,2.6,26,9,0
200,13.083962663757287,77.52025832768504,13.135920335881138,77.6819536934776,8,4,4,Foggy,Low,Bike,5,3.9,38,4,1
201,13.042609493846287,77.60638032614722,12.868010893900708,77.72295618601945,13,3,4,Rainy,High,Scooter,9,3.0,40,7,2
202,12.875241989498514,77.50162995579497,12.967405401610174,77.57934188063481,1,1,1,Foggy,Low,Car,4,1.3,44,1,0
203,12.898488614228384,77.54162950780491,12.996254813450424,77.72126607653811,16,1,9,Rainy,Low,Scooter,1,1.7,39,6,0
204,13.119566256558125,77.54643874338434,12.893941228023495,77.63647017034451,20,0,8,Rainy,Low,Scooter,8,2.2,30,3,1
205,13.031928717897877,77.49788897997583,13.110312684334863,77.7110146298245,15,4,10,Windy,High,Car,6,4.1,37,3,1
206,12.85275911548499,77.51155485001856,12.935244893467013,77.46181295913135,4,0,7,Clear,Low,Car,9,4.1,40,3,0
207,12.880441462859809,77.68656555260247,13.084902561981448,77.64735571457406,0,5,2,Clear,Medium,Car,3,4.1,20,3,0
208,13.049050530732417,77.50015875636419,13.051298344608496,77.70439252366337,8,0,7,Windy,High,Bike,7,4.1,46,1,1
209,12.851518475153865,77.45853721755319,13.029413746740108,77.50226061009296,2,3,4,Windy,Medium,Bike,1,2.7,34,2,0
210,12.89824241542525,77.63880648278868,12.907642854608966,77.64853608003948,13,3,3,Rainy,High,Bike,2,3.5,46,7,2
211,13.014620136809976,77.74279493581774,12.916211056165272,77.69748641426499,17,0,11,Clear,High,Scooter,5,1.6,44,9,1
212,13.057568559307809,77.54936414438694,12.86420452142397,77.5363848108898,11,5,12,Foggy,Low,Car,2,1.9,35,4,0
213,13.04558837785078,77.48559671095887,12.922213728934679,77.57157389837192,22,3,10,Foggy,Medium,Bike,8,2.3,24,9,1
214,12.917280792838168,77.62111619761026,12.953633082838154,77.62085531554976,13,5,4,Clear,High,Bike,5,3.1,27,4,2
215,13.063653766404261,77.72190626332869,13.099943591158727,77.60575030666537,15,1,10,Clear,Medium,Bike,9,1.7,37,4,1
216,12.92117472624904,77.68521853394854,12.959917800014441,77.46175681791114,4,1,6,Clear,High,Bike,3,4.5,40,6,1
217,12.94761990944778,77.63675476052381,13.076386534829682,77.47960162942563,19,4,7,Rainy,Low,Car,6,3.5,49,8,1
